Material Name,Categories,Density,Chemical Properties,Mechanical Properties,Modulus of Elasticity,Poissons Ratio,Shear Modulus,Electrical Properties,Volume Resistivity,Dielectric Constant,Dielectric Loss Index,Thermal Properties,"CTE, linear",Thermal Conductivity,"Transformation Temperature, Tg",Softening Point,Working Point,Annealing Point,Optical Properties,Refractive Index,UV Transmittance,Hydrolytic Resistance,Stress-optical Coefficient K (10-6mm2N-1),tk100(°C),"Maximum Service Temperature, Air",CaO+MgO,SiO2,Classification Temperature (°C),CategoryList
Schott N-BK7HTi 517642.251,Ceramic;Glass;Optical,29.86128631870596,121.61968406196213,610.0,82.0,39215961263.76291,0.206,354255673601.07904,1397826682018.5647,7.1,1.114,557.0,719.0,557.0,55303066032.70319,925967037497.377,1.489,63.96,0.008054,3550295858081.2256,219.27625017163737,630000500497.2809,4685496641331.751,4436496350910.88,4096932515810.9297,15994.278176317206,5627142857431.44,5239580332021.5205,"['Ceramic', 'Glass', 'Optical']"
Excalibar ExBar™ 400 Barite BaSO 4  Powder,Ceramic;Other Engineering Material;Additive/Filler for Polymer,4.1,103.20415397003667,489.7430976033057,35065059.948112205,39215961222.602715,881149.1085333596,354255673713.0774,713920208974.943,202846045647.35376,142.62752115169147,142979.2384917944,4142068965751.574,344429950861.54395,294273654147.3274,925967037386.7144,422535212405.03143,10219780688.457298,255519480649.03748,18550295858092.562,218.39652944434275,1184971261412.812,5014908406098.349,16651587260179.744,15000503944717.934,4061.942466467167,14118809524115.846,5812816785468.457,"['Ceramic', 'Other Engineering Material', 'Additive/Filler for Polymer']"
Anderman Ceramics EA96 Sintered Alumina,Ceramic;Oxide;Aluminum Oxide,61.0299829240366,156.02812344889796,646.2175166822532,84300672.62278198,70465998308.04787,1639845.5798075837,403857845379.50385,910192505337.0527,7.5,23.0,349572.93188266206,7717068965799.736,99296301185.54095,102361259923.95715,2228550810036.728,422535212906.06244,27218556983.980663,85822511012.22964,6643079363249.735,190.39371573334913,746418859024.9802,4752738972698.96,4489199053577.38,4469459988851.931,4215.807298410132,7768489011291.655,9891468113977.348,"['Ceramic', 'Oxide', 'Aluminum Oxide']"
Imerys TIMREX® PG25 Natural P/M Special-Graphite,Carbon;Graphite;Other Engineering Material;Additive/Filler for Polymer,109.65220183871342,93.59782367204969,312.8831579365079,25.546648487159924,108.39705006105005,110.08192154589372,89.34422670131599,110603174627.68613,81932777099.81232,79.29712204314204,45.1543649855585,65.77214315234727,147276688506.47266,123202614819.77332,289.64202328564755,125.03174234343433,129.36487320910973,106060606096.01405,6666666666715.524,78.61700923242084,278752437111.40955,168627451952.88593,5442060606405.706,4857142857433.856,38.182476313450294,3785185186009.2,289714286221.02936,"['Carbon', 'Graphite', 'Other Engineering Material', 'Additive/Filler for Polymer']"
Morgan Advanced Ceramics Kao-Tab® Monolithics 95EF Thermal Ceramic,Ceramic;Oxide,52.56492174799874,159.71131046828827,676.2442524865884,68556631.2531715,75061636313.20595,1469081.6628467666,466526512335.5545,963393435379.7284,81956244839.75427,1.4,276792.44811655633,8156752873871.653,101804051349.55067,108315910714.32613,1758447018000.9456,528169015631.21985,20932620639.68686,90863997305.01517,7015189410217.756,195.59041880019493,884515924261.2141,5912905715455.2705,5589539357324.477,5431605205408.259,5175.057843881458,8037133699959.662,10425789549169.682,"['Ceramic', 'Oxide']"
NAPCO Silicon Carbide,Ceramic;Carbide,34.55626664151432,125.1887681726908,1008.7854345041322,43831338.83073141,49019951468.26631,1143117.182338801,442819592091.35187,620019308855.2068,52139478886.213554,272.8753528361345,178709.44118562498,5177586207296.3125,64115869912.35301,69128832382.34615,1157458796762.497,528169015297.86285,12774725692.257805,58035714522.66071,4437869822619.374,196.6034963464912,787500626675.0533,5856870801713.248,5545620438287.815,5121165644697.74,5063.729433535714,7033928571841.434,6548700177790.385,"['Ceramic', 'Carbide']"
Aremco Ceramacast™ 515 High Temperature Potting & Casting Aluminum Oxide,Ceramic;Oxide;Silicon Oxide;Potting/Casting Ceramic,50.67712206779804,139.37531532205693,648.1704801735744,57542620.10736876,67110460098.73623,1259399.408448377,364479979075.5444,975934348197.7587,8.1,159.97171053135102,231712.17708400934,7349589491247.101,166322393997.9237,171740533258.18384,1464135913728.3713,402414488259.5911,19056432860.92204,143640486668.5641,6326742250724.819,174.73813011397772,917224310051.833,4624162016051.3125,4057065825319.7827,4037050854106.7783,4017.2673792199657,6147352551101.494,16842302512283.879,"['Ceramic', 'Oxide', 'Silicon Oxide', 'Potting/Casting Ceramic']"
Saint-Gobain Chemfab® 6 Industrial PTFE-Coated Glass,Ceramic;Glass;Glass Fiber,33.69272594276612,144.60623906196213,764.435844445411,35065107.0949427,39215961399.54875,881103.1705684683,354255673608.17566,1386398110588.9038,41711583151.83326,315.29721967492264,158876.28597918802,4142068965892.503,57146923249.70324,55303066000.34057,925967037457.7368,422535212276.63226,10219780655.054039,46428571580.46251,3550295858071.868,232.8913555795971,630000500487.9325,4685496641323.415,4436496350788.639,4552147239779.156,10369.17093995357,5627142857449.608,5239580331977.449,"['Ceramic', 'Glass', 'Glass Fiber']"
Morgan Advanced Ceramics PZT800 Series PZT 806 Piezo Ceramic,Ceramic;Piezoelectric,7.6,112.68460150602412,0.3,0.71,104.0,30.0,0.55,1200.0,280.0,11.1,0.31,5177586207151.0205,150.0,1.0,1157458796711.107,528169015287.4186,12774725691.6928,58035714901.45654,4437869822582.093,255.70328801315787,787500625584.139,5856870801635.311,5545620438295.588,5121165644697.111,5087.694402285713,7033928571688.787,6548699552790.028,"['Ceramic', 'Piezoelectric']"
Montmorillonite Al 2 O 3 -4SiO 2 -nH 2 O,Ceramic;Clay,34.003397987668166,125.70126817269079,579.1229345041322,43831317.07656474,49019951319.46631,1101386.7006721343,442819592002.67737,620019308811.8256,52139478755.53014,215.6552323529412,238267.1215808333,5177586207151.541,64115869865.64052,69128832376.80667,1157458796730.96,2.5,12774725736.254467,58035714441.70654,4437869822562.621,185.11807967982455,787500625619.8536,5856870801631.636,5545620438281.972,6828220859572.754,5098.718702285713,7033928571686.05,6548699552831.545,"['Ceramic', 'Clay']"
AISI 1017 Steel,Metal;Ferrous Metal;Carbon Steel;AISI 1000 Series Steel;Low Carbon Steel,25.91293125,27.84980086666667,45.92371473684211,62.45598733333335,541.426177,17.087954375000002,4.922917142857143,274.46082631578946,19.674742857142856,61.050833333333344,56.00563076923077,67.51114539285716,248.59384574428572,358.05769642857143,58.74053333333333,69.16510523529412,69.74524691428572,93.78469899333332,83.24011843832001,11.201272727272727,270.5067954453333,367.62651462603174,192.0841875,362.26076923076926,555.9251220276782,816.511069326584,1424.1792136525878,"['Metal', 'Ferrous Metal', 'Carbon Steel', 'AISI 1000 Series Steel', 'Low Carbon Steel']"
LKAB Minerals MagnaDense 4 Fine Aggregate,Ceramic;Oxide,52.56492174799874,159.71131046828827,676.2442524865884,68556631.2531715,75061636313.20595,1469081.6628467666,466526512335.5545,963393435379.7284,81956244839.75427,183.5738495147059,276792.44811655633,8156752873871.653,101804051349.55067,108315910714.32613,1758447018000.9456,5.5,20932620639.68686,5.1,7015189410217.756,0.3,884515924261.2141,5912905715455.2705,5589539357324.477,5431605205408.259,5175.057843881458,8037133699959.662,10425789549169.682,"['Ceramic', 'Oxide']"
BNZ Materials Blazecrete 2500 HS Dense Castable,Ceramic;Oxide;Aluminum Oxide,61.0299829240366,156.02812344889796,646.2175166822532,84300672.62278198,70465998308.04787,1639845.5798075837,403857845379.50385,910192505337.0527,77491926811.62698,168.28130471176473,349572.93188266206,7717068965799.736,99296301185.54095,102361259923.95715,2228550810036.728,422535212906.06244,27218556983.980663,85822511012.22964,6643079363249.735,190.39371573334913,746418859024.9802,4752738972698.96,4489199053577.38,4469459988851.931,4215.807298410132,7768489011291.655,9891468113977.348,"['Ceramic', 'Oxide', 'Aluminum Oxide']"
Morgan Advanced Ceramics AL 1009™ Mac-A100W-Porous Aluminum Oxide Ceramic,Ceramic;Oxide;Aluminum Oxide,61.0299829240366,156.02812344889796,646.2175166822532,84300672.62278198,70465998308.04787,1639845.5798075837,403857845379.50385,910192505337.0527,77491926811.62698,168.28130471176473,349572.93188266206,7717068965799.736,1800.0,102361259923.95715,2228550810036.728,422535212906.06244,27218556983.980663,85822511012.22964,6643079363249.735,190.39371573334913,746418859024.9802,4752738972698.96,4489199053577.38,7.5,99.9,7768489011291.655,9891468113977.348,"['Ceramic', 'Oxide', 'Aluminum Oxide']"
Morgan Advanced Ceramics IFB Structural JM ™30HD Thermal Ceramic,Ceramic;Oxide,1.19,159.71131046828827,676.2442524865884,68556631.2531715,75061636313.20595,1469081.6628467666,466526512335.5545,963393435379.7284,81956244839.75427,183.5738495147059,276792.44811655633,8156752873871.653,101804051349.55067,108315910714.32613,1758447018000.9456,528169015631.21985,20932620639.68686,90863997305.01517,7015189410217.756,195.59041880019493,884515924261.2141,5912905715455.2705,5589539357324.477,5431605205408.259,73.4,0.0035,5.0,"['Ceramic', 'Oxide']"
H.C. Starck Amperit® 782.1 Titanium Oxide (TiO2),Ceramic;Oxide;Titanium Oxide,55.18855211392359,148.10973195953625,663.1988102025035,71928257.99242212,78295536720.90068,1469278.4323858516,425226642236.48663,1008960443256.7709,86101891450.69188,172.88005523529415,289634.22362846404,8574521073095.142,107242792972.52734,113697288784.97543,1830169892142.4883,469483569603.1497,22232504989.987904,85822510992.09117,106643079363236.66,256.85893735497075,829354287645.8488,5280820597659.645,4987998948307.604,4966066654020.094,4653.535479714961,7589987790308.717,10990519597652.943,"['Ceramic', 'Oxide', 'Titanium Oxide']"
